Tên,Năm ra mắt,Công nghệ xử lí hình ảnh,Giá (đ),Loại Tivi,Kích thước màn hình (inch),Độ phân giải,Tổng công suất loa (W),Tần số quét (Hz),Hãng sản xuất,Xuất xứ,Thời gian bảo hành (tháng)
Smart Tivi Sony 4K 65 inch KD-65X75K VN3,2022,"Công nghệ LED nền (Direct LED, Frame dimming), Bộ xử lý 4K Processor X1, Độ phân giải 4K, Công nghệ 4K X-Reality PRO tự động nâng cấp hình ảnh lên 4K, Công nghệ tạo màu Live Color, Công nghệ chuyển động XR Motion, Hỗ trợ HDR10, HLG",14690000,"Tivi LED, Smart tivi",65,4k,20,50,Chromecast,Việt Nam,24
Smart Tivi Samsung Crystal UHD 4K 55 inch UA55AU7700KXXV,2021,"Analog Clean View, Bộ xử lý Crystal 4K, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), HDR10+, Khử nhiễu hình ảnh Digital Clean View, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Nâng cấp độ tương phản Max Contrast, PurColor",9990000,"Tivi LED, Smart tivi",55,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Sony 4K 43 inch KD-43X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",8990000,"Tivi LED, Smart tivi, Google tivi",43,4k,20,50,Nhật Bản,Việt Nam,24
Smart Tivi NanoCell LG 4K 65 inch 65NANO76SQA,2022,"Active HDR, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Dải màu rộng Nano Color, Nâng cấp hình ảnh AI Picture Pro 4K, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",13490000,"Tivi NanoCell, Smart tivi",65,4k,20,60,Lg,Indonesia,24
Smart Tivi Sony 4K 50 inch KD-50X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",11190000,"Tivi LED, Smart tivi",50,4k,20,50,Nhật Bản,Việt Nam,24
Google Tivi TCL 4K 43 inch 43P737,2022,"Dolby Vision, HDR10, Dải màu rộng Wide Color Gamut, Kiểm soát đèn nền Micro Dimming, Tăng cường chuyển động MEMC 60Hz",5490000,Google tivi,43,4k,19,60,Tcl,Việt Nam,24
Smart Tivi LG 4K 55 inch 55UQ7550PSF,2022,"Active HDR, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",8990000,Smart tivi,55,4k,20,60,Lg,Indonesia,24
Android Tivi Xiaomi P1 43 inch,2022,"1.07 tỷ màu (8-Bit + FRC), Dolby Vision, HDR10+, HLG, MEMC, 72% gam màu NTSC, 78% gam màu DCI-P3",5790000,"Android Tivi, Smart tivi",43,4k,20,60,Trung Quốc,Việt Nam,24
Smart Tivi Samsung 4K 50 inch UA50AU7002,2022,"Chuyển động mượt Motion Xcelerator, HDR10+, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, PurColor, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), ",7990000,"Tivi LED, Smart tivi",50,4k,20,50,Hàn Quốc,Việt Nam,24
Google Tivi Toshiba 55 inch 4K HDR 55C350LP,2022,"4K Brilliance Restoration, 4K Fine Texture Restoration, 4K Gradation Correction, Công nghệ Color Re-Master Pro, Công nghệ Super Contrast Booster, Công nghệ Ultra Essential PQ, Dolby Vision, HDR Restoration, HDR10, Công nghệ tinh chỉnh thông minh AI Picture Optimizer, Tăng cường chuyển động MEMC, 4K Digital Noise Reduction, Auto Clean, Auto Signal Booster, Công nghệ Adaptive Dimming, Nâng cấp hình ảnh AI 4K Upscaling, Đồng bộ khung hình/tần số quét chơi game VRR, Công nghệ giảm ánh sáng xanh, bảo vệ mắt iCare Blue, FilmMaker Mode, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Picture Optimizer, ",8790000,"Tivi LED, Smart tivi, Google tivi",55,4k,24,60,Toshiba,Thái Lan,24
Google Tivi Toshiba 50 inch 4K HDR 50C350LP,2022,"4K Brilliance Restoration, 4K Fine Texture Restoration, 4K Gradation Correction, Công nghệ Color Re-Master Pro, Công nghệ Super Contrast Booster, Công nghệ Ultra Essential PQ, Dolby Vision, HDR Restoration, HDR10, Công nghệ tinh chỉnh thông minh AI Picture Optimizer, Tăng cường chuyển động MEMC, 4K Digital Noise Reduction, Auto Clean, Auto Signal Booster, Công nghệ Adaptive Dimming, Nâng cấp hình ảnh AI 4K Upscaling, Đồng bộ khung hình/tần số quét chơi game VRR, Công nghệ giảm ánh sáng xanh, bảo vệ mắt iCare Blue, FilmMaker Mode, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)
Picture Optimizer, ",7790000,"Tivi LED, Smart tivi, Google tivi",50,4k,24,60,Toshiba,Thái Lan,24
Smart Tivi Samsung QLED 50 Inch QA50Q60AA (Model 2021),2021,"Độ phân giải 3,840 x 2,160, Chế độ trình chiếu tranh/ảnh Ambient Mode, Brightness/Color Detection, HDR10+, Quantum Dot hiển thị 100% dải màu, Quantum HDR, Naang cao chất lượng hình ảnh Supreme UHD Dimming, Chuyển động mượt Motion Xcelerator Turbo, Super Ultra Wide Game View & Game Bar, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",9000000,"Tivi QLED, Smart tivi",50,4k,20,60,Samsung,Việt Nam,24
Smart Tivi 4K The Sero Samsung 43 INCH 43LS05BA,2022,"Adaptive Picture tối ưu hình ảnh ở mọi điều kiện sáng, Brightness/Color Detection, Quantum HDR, Supreme UHD Dimming, Độ tương phản cao - Mega Contrast, Dual LED, Tấm nền chống phản chiếu ánh sáng Matte Display, Ambient Mode+, Tối ưu hoá nội dung điện thoại trên màn hình xoay",14990000,"Tivi QLED, Smart tivi",43,4k,60,60,Hàn Quốc,Việt Nam,24
Smart Tivi Samsung Crystal UHD 4K 75 Inch 75BU8000,2022,"Độ phân giải: 3,840 x 2,160<br> Bộ xử lý Crystal 4K AI, HDR10+, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)<br>Chế độ xem phim<br>Filmmaker Mode (FMM)",25890000,Smart tivi,75,4k,20,60,Hàn Quốc,Việt Nam,24
Smart Tivi LG UHD 4K 55 inch 55UQ7050,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",9290000,Smart tivi,55,4k,20,60,Lg,Indonesia,24
Smart Tivi LG UHD 4K 50 inch 50UQ7050,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",8490000,Smart tivi,50,4k,20,60,Lg,Indonesia,24
Android Tivi Xiaomi A2 32 inch,2022,"Độ phân giải: 1.366 × 768, Độ sâu màu: 16,7 triệu, Tốc độ làm mới: 60Hz, Góc xem: 178°(NGANG)/178°(DỌC)",3690000,"Android Tivi, Smart tivi",32,HD,20,60,Trung Quốc,Việt Nam,24
Google Tivi TCL 4K 50 inch 50P737,2022,"Dolby Vision, HDR10, HLG, Dải màu rộng Wide Color Gamut, Kiểm soát đèn nền Micro Dimming, Tăng cường chuyển động MEMC 60Hz",7490000,Google tivi,50,4k,19,60,Tcl,Việt Nam,24
Smart Tivi TCL 43 inch 43S5400A,2023,"HDR10, HLG, Kiểm soát đèn nền Micro Dimming, Tần số quét 60Hz, Tỷ lệ khung hình 16:09, Sự tương phản 4000:1",5490000,"Tivi LED, Smart tivi, Tivi thiết kế đặc biệt, Google tivi",43,Full HD,19,60,Hàn Quốc,Việt Nam,24
Smart Tivi 4K The Serif Samsung LTV 65 inch 65LS01B,2022,"Adaptive Picture, Ambient Mode+, Bộ xử lý Quantum 4K AI, Chuyển động ảnh mượt mà Auto Motion Plus, Chế độ Game Motion Plus, Chế độ hình ảnh tự nhiên Natural Mode, Chế độ phim Film mode, Chống xé hình FreeSync Premium, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Góc nhìn rộng Wide Viewing Angle, HDR10+, Khử nhiễu hình ảnh Digital Clean View, Direct Full Array 120 blocks, Nâng cấp độ tương phản Contrast Enhancer, Quantum Dot, Quantum HDR, Real Game Enhancer+, Supreme UHD Dimming",19990000,"Tivi QLED, Smart tivi",65,4k,40,120,Hàn Quốc,Việt Nam,24
Smart Tivi TCL Full HD 40 inch 40S5400A,2023,"HDR10, HLG, Kiểm soát đèn nền Micro Dimming, Tần số quét 60Hz, Tỷ lệ khung hình 16:09, Sự tương phản 5000:1",4890000,"Tivi LED, Smart tivi, Google tivi",40,Full HD,19,60,Hàn Quốc,Việt Nam,24
Smart Tivi NanoCell LG 4K 43 inch 43NANO76SQA ,2022,"Active HDR, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Dải màu rộng Nano Color, Nâng cấp hình ảnh AI Picture Pro 4K, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",8490000,"Tivi NanoCell, Smart tivi",43,4k,20,60,Lg,Indonesia,24
Smart Tivi Samsung Crystal UHD UA65AU8100 4K 65 inch,2021,"Ambient Mode, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Chuyển động mượt Motion Xcelerator, Chuyển động ảnh mượt mà Auto Motion Plus, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",12390000,Smart tivi,65,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Samsung Crystal UHD UA55AU8100 4K 55 inch,2021,"Ambient Mode, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Chuyển động mượt Motion Xcelerator, Chuyển động ảnh mượt mà Auto Motion Plus, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",9290000,Smart tivi,55,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 55 inch 55LS03BA,2022,"Adaptive Picture, Ambient Mode+, Brightness/Color Detection, Bộ xử lý Quantum 4K AI, Chuyển động mượt Motion Xcelerator Turbo+, Chuyển động ảnh mượt mà Auto Motion Plus, Chế độ phim Film mode, Chế độ tranh nghệ thuật Art Mode, HDR10+, Khử nhiễu hình ảnh Digital Clean View, Quantum Dot hiển thị 100% dải màu, Quantum HDR, Supreme UHD Dimming, Độ tương phản cao - Mega Contrast",13990000,"Tivi QLED, Smart tivi, Tivi thiết kế đặc biệt",55,4k,40,120,Samsung,Việt Nam,24
Tivi Coocaa HD 32 inch 32R5 (model 2023),2023,"Công nghệ Trochilus Extreme, HDR 10+",2790000,Smart tivi,32,HD,10,60,Coocaa,Indonesia,24
Smart Tivi Samsung 4K 55 inch UA55AU7002,2022,"Chuyển động mượt Motion Xcelerator, HDR10+, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, PurColor, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",8250000,"Tivi LED, Smart tivi",55,4k,20,60,Hàn Quốc,Việt Nam,24
Smart Tivi LG UHD 4K 55 inch 55UQ7050,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",9290000,Smart tivi,55,4k,20,60,Lg,Indonesia,24
Smart Tivi Samsung Crystal UHD 4K 43 inch 43AU7700,2022,"Analog Clean View, HDR10+, Khử nhiễu hình ảnh Digital Clean View, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Nâng cấp độ tương phản Max Contrast, PurColor, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",7690000,"Tivi LED, Smart tivi",43,4k,20,60,Samsung,Việt Nam,24
Android Tivi Xiaomi P1 55 inch,2022,"1.07 tỷ màu (8-Bit + FRC), Dolby Vision, HDR10+, HLG, MEMC, 88% gam màu NTSC, 94% gam màu DCI-P3, Góc xem: 178°(NGANG)/178°(DỌC)",7690000,"Android Tivi, Tivi LED, Smart tivi",55,4k,20,60,Trung Quốc,Việt Nam,24
Smart Tivi Samsung 4K 65 inch UA65AU7002,2022,"Chuyển động mượt Motion Xcelerator, HDR10+, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, PurColor, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), 1 tỉ màu",10990000,"Tivi LED, Smart tivi",65,4k,20,60,Hàn Quốc,Việt Nam,24
Android Tivi Xiaomi A2 32 inch,2022,"Độ phân giải: 1.366 × 768, Độ sâu màu: 16,7 triệu, Tốc độ làm mới: 60Hz, Góc xem: 178°(NGANG)/178°(DỌC)",3690000,"Android Tivi, Smart tivi",32,HD,20,60,Trung Quốc,Việt Nam,24
Smart Tivi LG 4K 55 inch 55UQ7550PSF,2022,"Active HDR, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",8990000,Smart tivi,55,4k,20,60,Lg,Indonesia,24
Smart Tivi NanoCell LG 4K 43 inch 43NANO76SQA ,2022,"Active HDR, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Dải màu rộng Nano Color, Nâng cấp hình ảnh AI Picture Pro 4K, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",8490000,"Tivi NanoCell, Smart tivi",43,4k,20,60,Lg,Indonesia,24
Android Tivi Xiaomi P1 43 inch,2022,"1.07 tỷ màu (8-Bit + FRC), Dolby Vision, HDR10+, HLG, MEMC, 72% gam màu NTSC, 78% gam màu DCI-P3",5790000,"Android Tivi, Smart tivi",43,4k,20,60,Trung Quốc,Việt Nam,24
Smart Tivi Samsung 4K 50 inch UA50AU7002,2022,"Chuyển động mượt Motion Xcelerator, HDR10+, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, PurColor, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), ",7990000,"Tivi LED, Smart tivi",50,4k,20,50,Hàn Quốc,Việt Nam,24
Google Tivi Toshiba 55 inch 4K HDR 55C350LP,2022,"4K Brilliance Restoration, 4K Fine Texture Restoration, 4K Gradation Correction, Công nghệ Color Re-Master Pro, Công nghệ Super Contrast Booster, Công nghệ Ultra Essential PQ, Dolby Vision, HDR Restoration, HDR10, Công nghệ tinh chỉnh thông minh AI Picture Optimizer, Tăng cường chuyển động MEMC, 4K Digital Noise Reduction, Auto Clean, Auto Signal Booster, Công nghệ Adaptive Dimming, Nâng cấp hình ảnh AI 4K Upscaling, Đồng bộ khung hình/tần số quét chơi game VRR, Công nghệ giảm ánh sáng xanh, bảo vệ mắt iCare Blue, FilmMaker Mode, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Picture Optimizer, ",8790000,"Tivi LED, Smart tivi, Google tivi",55,4k,24,60,Toshiba,Thái Lan,24
Google Tivi Toshiba 50 inch 4K HDR 50C350LP,2022,"4K Brilliance Restoration, 4K Fine Texture Restoration, 4K Gradation Correction, Công nghệ Color Re-Master Pro, Công nghệ Super Contrast Booster, Công nghệ Ultra Essential PQ, Dolby Vision, HDR Restoration, HDR10, Công nghệ tinh chỉnh thông minh AI Picture Optimizer, Tăng cường chuyển động MEMC, 4K Digital Noise Reduction, Auto Clean, Auto Signal Booster, Công nghệ Adaptive Dimming, Nâng cấp hình ảnh AI 4K Upscaling, Đồng bộ khung hình/tần số quét chơi game VRR, Công nghệ giảm ánh sáng xanh, bảo vệ mắt iCare Blue, FilmMaker Mode, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)
Picture Optimizer, ",7790000,"Tivi LED, Smart tivi, Google tivi",50,4k,24,60,Toshiba,Thái Lan,24
Smart Tivi Samsung Crystal UHD UA55AU8100 4K 55 inch,2021,"Ambient Mode, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Chuyển động mượt Motion Xcelerator, Chuyển động ảnh mượt mà Auto Motion Plus, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",9290000,Smart tivi,55,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Samsung Crystal UHD UA65AU8100 4K 65 inch,2021,"Ambient Mode, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Chuyển động mượt Motion Xcelerator, Chuyển động ảnh mượt mà Auto Motion Plus, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",12390000,Smart tivi,65,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Samsung QLED 50 Inch QA50Q60AA (Model 2021),2021,"Độ phân giải 3,840 x 2,160, Chế độ trình chiếu tranh/ảnh Ambient Mode, Brightness/Color Detection, HDR10+, Quantum Dot hiển thị 100% dải màu, Quantum HDR, Naang cao chất lượng hình ảnh Supreme UHD Dimming, Chuyển động mượt Motion Xcelerator Turbo, Super Ultra Wide Game View & Game Bar, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",9000000,"Tivi QLED, Smart tivi",50,4k,20,60,Samsung,Việt Nam,24
Smart Tivi 4K The Sero Samsung 43 INCH 43LS05BA,2022,"Adaptive Picture tối ưu hình ảnh ở mọi điều kiện sáng, Brightness/Color Detection, Quantum HDR, Supreme UHD Dimming, Độ tương phản cao - Mega Contrast, Dual LED, Tấm nền chống phản chiếu ánh sáng Matte Display, Ambient Mode+, Tối ưu hoá nội dung điện thoại trên màn hình xoay",14990000,"Tivi QLED, Smart tivi",43,4k,60,60,Hàn Quốc,Việt Nam,24
Smart Tivi Samsung Crystal UHD 4K 75 Inch 75BU8000,2022,"Độ phân giải: 3,840 x 2,160<br> Bộ xử lý Crystal 4K AI, HDR10+, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)<br>Chế độ xem phim<br>Filmmaker Mode (FMM)",25890000,Smart tivi,75,4k,20,60,Hàn Quốc,Việt Nam,24
Smart Tivi LG 4K 65 inch 65UR7550PSC,2022,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency +Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",11990000,Smart tivi,65,4k,20,60,Lg,Indonesia,24
Smart Tivi LG UHD 4K 43 inch 43UQ7050,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",6990000,Smart tivi,43,4k,20,60,Lg,Indonesia,24
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 50 inch 50LS03BA,2022,"Adaptive Picture, Ambient Mode+, Brightness/Color Detection, Chuyển động mượt Motion Xcelerator Turbo+, Chuyển động ảnh mượt mà Auto Motion Plus, Chế độ Game Motion Plus, Chế độ hình ảnh tự nhiên Natural Mode, Chế độ phim Film mode, Art Mode, Chống xé hình FreeSync Premium Pro, Khử nhiễu hình ảnh Digital Clean View, Quantum Dot, Quantum HDR, Super Ultra Wide Game View & Game Bar, Supreme UHD Dimming, Độ tương phản cao - Mega Contrast, Công nghệ cảm biến chuyển động Motion Sensor, Công nghệ cảm biến ánh sáng Brightness Sensor",12990000,"Tivi QLED, Smart tivi, Tivi thiết kế đặc biệt",50,4k,20,60,Samsung,Việt Nam,24
